Algorithm,Cost,Repetition
Memetic,40.0671,833.163
Memetic,40.0671,864.519
Memetic,40.0383,780.201
Memetic,40.0383,769.956
Memetic,40.0671,809.6
Memetic,40.0671,858.182
Memetic,40.0671,842.191
Memetic,40.0671,850.914
Memetic,40.0671,836.616
Memetic,40.0383,757.831
Memetic,40.0671,845.624
Memetic,40.0383,799.01
Memetic,40.0671,862.87
Memetic,40.0671,870.008
Memetic,40.0383,788.597
Memetic,40.0671,870.513
Memetic,40.0671,809.233
Memetic,40.0671,869.863
Memetic,40.0383,802.939
Memetic,40.0671,834.416
Memetic,40.0671,872.564
Memetic,40.0671,832.877
Memetic,40.0671,824.631
Memetic,40.0383,821.692
Memetic,40.0671,888.489
Memetic,40.0671,819.112
Memetic,40.0671,832.16
Memetic,40.2816,820.704
Memetic,40.0671,866.904
Memetic,40.0671,856.655
